gene,fold.change,p.adjvalue,rank,pvalue
Plcb2,-0.332613386,0.200265337,-2.12E+00,0.007621346
Plcb3,-0.282000684,0.250001288,-1.88E+00,0.013258283
Plcb4,0.432820762,0.081944936,2.99E+00,0.001017961
Plcd1,-0.087539416,0.680402604,-4.72E-01,0.337643471
Plcd3,0.210349407,0.348535693,1.45E+00,0.035670616
Plcd4,0.017189416,0.901591403,1.24E-01,0.751580857
Plce1,-0.064863403,0.765702492,-3.19E-01,0.480090665
Plcg1,0.026079145,0.91114346,1.11E-01,0.774200359
Plcg2,-0.071907697,0.724818628,-3.85E-01,0.411686864
Plch1,0.120525755,0.590737555,6.66E-01,0.215527832
Plch2,0.007805353,0.975172206,3.16E-02,0.929723096
Plcl1,0.115903061,0.537199418,8.25E-01,0.149673132
Plcl2,-0.077166118,0.718588935,-3.97E-01,0.400737644
Plcxd1,0.119450286,0.357268077,1.41E+00,0.039134426
Plcxd2,0.01764233,0.936828133,7.69E-02,0.837712879
Plcxd3,0.092856676,0.261281815,1.81E+00,0.015512969
Plcz1,0.012741627,1,2.78E-01,0.527524762
Pld1,0.002890269,0.99030907,1.18E-02,0.973136197
Pld2,0.162001283,0.400059861,1.23E+00,0.059063838
Pld3,-0.078643014,0.714743643,-4.05E-01,0.393402534
Pld4,0.094097444,0.539459529,8.18E-01,0.152116997
Pld5,-0.008657377,0.935964285,-7.79E-02,0.835796094
Pld6,-0.016211563,1,-1.92E-01,0.643328621
Pldi,0,1,0.00E+00,
Plec,-0.062055726,0.77301487,-3.08E-01,0.491588489
Plek,0.280180091,0.242277331,1.91E+00,0.012393566
Plek2,-0.050611417,0.82015682,-2.36E-01,0.581059795
Plekha1,-0.133241084,0.561605199,-7.51E-01,0.177267842
